filename,cmax,state,runtime,best_solution_time
aslib0_356a.RCP,89,Optimal,0.245,0.19
aslib0_357a.RCP,85,Optimal,0.759,0.408
aslib0_358a.RCP,74,Optimal,3.206,0.16
aslib0_359a.RCP,84,Optimal,1.573,0.349
aslib0_360a.RCP,86,Optimal,0.172,0.15
aslib0_361a.RCP,85,Optimal,0.142,0.1
aslib0_362a.RCP,86,Optimal,0.097,0.087
aslib0_363a.RCP,84,Feasible,5.025,0.85
aslib0_364a.RCP,85,Optimal,1.898,0.461
aslib0_365a.RCP,82,Optimal,0.098,0.086
aslib0_366a.RCP,91,Optimal,1.515,0.27
aslib0_367a.RCP,93,Optimal,0.177,0.123
aslib0_368a.RCP,83,Optimal,0.108,0.097
aslib0_369a.RCP,88,Feasible,5.019,1.03
aslib0_370a.RCP,84,Optimal,0.537,0.365
aslib0_371a.RCP,89,Optimal,0.246,0.208
aslib0_372a.RCP,94,Optimal,1.911,1.877
aslib0_373a.RCP,89,Optimal,0.171,0.143
aslib0_374a.RCP,84,Optimal,0.275,0.115
aslib0_375a.RCP,94,Feasible,5.014,0.572
aslib0_376a.RCP,89,Optimal,0.224,0.195
aslib0_377a.RCP,83,Optimal,0.438,0.191
aslib0_378a.RCP,76,Optimal,1.075,0.894
aslib0_379a.RCP,77,Optimal,1.296,0.526
aslib0_380a.RCP,93,Feasible,5.025,4.445
aslib0_381a.RCP,96,Optimal,1.709,1.264
aslib0_382a.RCP,80,Optimal,0.59,0.288
aslib0_383a.RCP,79,Optimal,1.82,1.803
aslib0_384a.RCP,89,Optimal,0.182,0.164
aslib0_385a.RCP,92,Optimal,0.241,0.216
aslib0_386a.RCP,94,Optimal,1.779,0.581
aslib0_387a.RCP,87,Optimal,0.156,0.122
aslib0_388a.RCP,82,Optimal,1.353,0.469
aslib0_389a.RCP,92,Optimal,0.236,0.172
aslib0_390a.RCP,86,Optimal,1.014,0.76
aslib0_391a.RCP,87,Optimal,0.247,0.222
aslib0_392a.RCP,85,Optimal,0.263,0.234
aslib0_393a.RCP,84,Optimal,0.317,0.301
aslib0_394a.RCP,83,Optimal,2.931,2.251
